,id,experiment_id,input_text,response_text,timestamp
0,1,20260313_062517,সে. তিনি খুব প্রযুক্তি জ্ঞানী নন তাই আমি হতবাক হয়ে গিয়েছিলাম যে তিনি জানতে পেরেছিলেন!,আমি কখনই তাকে কোন সমস্যার সাথে সম্পর্কে না করার জন্য তাকে কোন সমস্যার সাথে সম্পর্কিত করব না বলে মনে করি। আমি মনে করি আমি এটি করেছি এবং আমি তাকে কল করতে পারি না কারণ সে কল করবে না এবং আমি একটি পদক্ষেপ করতে চাই না কারণ সে করবে না এবং আমি আমার নিজের কাছে কথা বলতে চাই না কারণ আমি কখনই কথা বলতে পারব না এবং আমি আমার নিজের কাছে কথা বলতে চাই না কারণ আমি কখনই কথা বলতে পারব না এবং আমি আমার নিজের কাছে কথা বলতে চাই না কারণ আমি কখনই কথা বলত,2026-03-13 14:16:01.402736
1,2,20260313_062517,সব পরে এটা একটি ভাল অভিজ্ঞতা ছিল না, কিন্তু আমি যখন অন্তত আমার বাচ্চাদের দেখতে পাই তখন আমি খুব খুশি হয়েছিলাম। আমার বাচ্চারা এখন বড় হয়েছে এবং আমি তাদের দেখার জন্য আমার সমস্ত সময় পাইনি। আমি আশা করি তারা একসাথে বড় হবে। আমি জানি আমি একটি ভাল বাবা ছিলাম কারণ তারা এখন যা করে তার জন্য আমি প্রস্তুত ছিলাম। আমি এখন তাদের সাথে দেখা করতে পারি না এবং এটা আমাকে খুব খারাপ বোধ করে। আমি জানি আমি আমার সমস্ত সময় তাদের দেখার জন্য আমার প্রয়োজন। আমি আমার সমস্ত সময় তাদের দে�,2026-03-13 14:16:01.402743
2,3,20260313_062517,আমার বন্ধু সত্য জানে,না কিন্তু আমি আমার স্ত্রীর সাথে একটি সম্পর্কের জন্য আমার বন্ধুকে বলেছি এবং আমরা একটি সম্পর্কের জন্য অনুভব করি। আমি তাকে বলেছি যে আমি আমার স্ত্রীর সাথে একটি সম্পর্কের জন্য আমার বন্ধুকে বলেছি এবং আমরা একটি সম্পর্কের জন্য অনুভব করি। আমি তাকে বলেছি যে আমি আমার স্ত্রীর সাথে একটি সম্পর্কের জন্য আমার বন্ধুকে বলেছি এবং আমরা একটি সম্পর্কের জন্য অনুভব করি। আমি তাকে বলেছি যে আমি আমার স্ত্রীর সাথে একটি সম্পর্কের জন্য আমার বন্ধুকে বলেছি এ�,2026-03-13 14:16:01.402745
3,4,20260313_062517,আমার বাচ্চারা যখন ছোট ছিল তখন আমি অনেক শিল্পকর্ম ফেলে দিয়েছিলাম।,"এখন তারা বড় হয়েছে এবং আমি তাদের সাথে শিল্পকর্মের জন্য সময় নিতে পারি না। আমি আমার বাচ্চাদের সাথে শিল্পকর্মের জন্য একটি শিথিল সময় নিতে পারি না। আমি কি করতে পারি?
সমস্যাটি সম্পর্কে আপনার প্রশ্নের মধ্যে আপনার জীবনে সময় এবং স্থানের উপায়ে পরিবর্তন সম্পর্কে আপনার অভিজ্ঞতা এবং আপনার প্রতিক্রিয়া আপনার বাচ্চাদের সাথে সময় কাটানোর সম্ভাবনা সম্পর্কে আপনার আশা এবং ভয় এবং আপনার বাচ্চাদের সাথে সময় কাটানোর সম্ভাবনা সম্পর্কে আপনার আশা এবং ভ�",2026-03-13 14:16:01.402747
4,5,20260313_062517,"তারা প্রিস্কুল এবং প্রাথমিক বিদ্যালয়ে ব্যাপকভাবে শিল্প তৈরি করেছে বলে মনে হচ্ছে। তারা কাগজে ডুডল, আঙুল-পেইন্টিংয়ের ঘূর্ণায়মান এবং নির্মাণ কাগজে আবৃত জিনিস নিয়ে বাড়িতে আসবে। এটা অনেক হয়েছে",এবং আমার মতে আমার বয়সের বেশিরভাগই এখন নতুন জিনিস পেতে পারে। আমি একটি অন্য সময়ে বাচ্চাদের দেখেছি এবং এটি আমাকে আশ্চর্যজনক বোধ করেছে। আমি জানি না তারা কী করছে কিন্তু তারা অনেক সময় পারিবারিক শপিং কার্ডে প্রতিস্থাপন করে। আমি এখন প্রায় একটি মার্কেটিং এক্সপার্ট হয়েছি! এটা আমাকে একটি ভাল বাচ্চা করে তোলে। আমি আশা করি তারা তাদের বাবা-মায়ের জন্য কিছু ভাল করবে যখন তারা বড় হয়। আমি এখন প্রায় একটি মার্কেটিং এক্সপার্ট হয়েছি! আমি �,2026-03-13 14:16:01.402749
5,6,20260313_062517,আমার স্ত্রী শীঘ্রই যমজ সন্তানের জন্ম দিচ্ছে। আমি উত্তেজিত এবং প্রসবের তারিখ ভয় করছি.,"আমি কীভাবে তাকে সাহায্য করতে পারি?
আমার স্ত্রী সম্প্রতি আমাদের প্রথম সন্তানের জন্ম দিয়েছে এবং আমরা একসাথে এটি মজার জন্য পছন্দ করি না। আমরা আমাদের সন্তানের জন্য আমাদের প্রথম সন্তানের জন্য একই সাহায্য প্রয়োজন কিনা তা নিশ্চিত করতে চাই। আমি কীভাবে তার সাহায্য করতে পারি? একটি বিশেষ সময়ের মধ্যে সময় কাটানোর জন্য আমি কোন পরামর্শ দিতে পারি? আমার স্ত্রী একটি প্রসব প্রস্তুতি ক্লাসে যোগ দিতে চায় এবং আমি আশা করি তারা এটি করবে কিনা তা নিশ্চিত করতে",2026-03-13 14:16:01.402751
6,7,20260313_062517,কয়েক সপ্তাহের মধ্যে। আমি আনন্দে ও উদ্বেগে নিজের পাশে আছি।,"আমি জানি না এটা কি, কিন্তু আমি নিশ্চিত যে এটি কিছু মৌমাছির মতো হতে পারে যা আমার বাড়ির কাছে দেখা যাচ্ছে। আমি এটা বন্ধ করার চেষ্টা করেছি কিন্তু আমি আমার কারণ জানি না। আমি আশা করি আপনি আমাকে এটি সম্পর্কে আরও তথ্য দিতে পারবেন এবং আমি কি করতে হবে তা নির্ধারণ করতে পারবেন। আমি আপনার উত্তর অপেক্ষা করছি। আমি আশা করি আপনি আমাকে সাহায্য করতে পারবেন। আপনার প্রশংসা করে। আমি আশা করি আমি আপনাকে একটি ভাল উত্তর দিতে পারব। আমি আপনার উত্তর অপেক্ষা করছি। আ�",2026-03-13 14:16:01.402753
7,8,20260313_062517,আমার স্বপ্নের কুকুরছানা পেতে আমার স্বামী এই গত সপ্তাহান্তে ৩০ ঘন্টা চালিয়েছিলেন। আমি সত্যিই কৃতজ্ঞ এবং উত্তেজিত ছিল.,"আমি সত্যিই একটি সুপারবিশ সত্যিই একটি বিশাল সমস্যা হতে পারে। আমি কীভাবে এটি ঘৃণা করতে পারি? আমি সত্যিই এটি ঘৃণা করি না, কিন্তু আমি তার বিশাল হৃদয় এবং বিশাল প্রশংসার জন্য এটি ঘৃণা করি না। আমি এটি ঘৃণা করি কারণ এটি তাকে অনেক ক্ষতি করে। এটি আমাকে এমন একটি সমস্যা দেয় যা আমার প্রতিটি সপ্তাহান্তে আমাকে সত্যিই বিরক্ত করে এবং আমি এটি সম্পর্কে অবাঞ্ছিত বলে মনে করি। আমি আমার স্বামীর প্রতি খুব কৃতজ্ঞ যে তিনি আমার প্রয়োজনের জন্য এটি �",2026-03-13 14:16:01.402754
8,9,20260313_062517,সত্যিই হয়! এই কুকুরছানাটি পাওয়ার জন্য তিনি তার পুরো সপ্তাহান্তে উত্সর্গ করেছিলেন।,আমি কিছুক্ষণ পরে তার সাথে আবার দেখা করতে পেরে খুব খুশি হয়েছিলাম। আমি তার সাথে অনেক কাজ করতে পারি না কারণ তিনি আমাকে একটি সম্পূর্ণ নতুন জীবন দিয়েছেন এবং আমি একটি নতুন স্ত্রী হয়েছি যিনি আমার সমস্ত বন্ধুদের প্রতি সতর্ক হতে পারেন না। আমি বাড়িতে একটি বৃহৎ অভিযোগ করছি এবং আমি আমার পরিবারের সাথে আমার প্রতিযোগিতার কারণে আমার পরিবারের সাথে কম সময় কাটাচ্ছি। আমি আমার স্বামীর সাথে বসতে পারি না কারণ আমার একটি মেয়ে আছে যার কথা ব,2026-03-13 14:16:01.402756
9,10,20260313_062517,আমার বয়ফ্রেন্ড শুধু আমাকে বলেছিল যে তারা এশিয়া সফর করতে যাচ্ছে এবং আমি এত ঈর্ষান্বিত ছিলাম যে আমি সত্যিই বিব্রত হয়েছিলাম। আমি সবেমাত্র খুব আনুষ্ঠানিকভাবে কথা বলতে শুরু করেছিলাম এবং আসলে কি বলতে হবে তা জানতাম না।,আমি এখন অনেক কিছু চিন্তা করছি এবং আমার বয়ফ্রেন্ড এটি করেছে কারণ আমি তার সাথে এত ভাল হতে পারি না। আমি এখন আমার সবচেয়ে ভাল বন্ধুর সাথে একটি বিশেষ দিন কাটাতে আশা করি। এটা কি ভাল? আমি আমার বয়ফ্রেন্ডের সাথে একটি ভাল সময় কাটাতে পারি না কারণ আমি তার সাথে এত ভাল হতে পারি না। এটি আমার জন্য একটি সমস্যা কারণ আমি একটি ভাল সময় কাটাতে পারি না এবং আমি আমার বয়ফ্রেন্ডের সাথে একটি ভাল সময় কাটাতে পারি না কারণ আমি তার সাথে এত ভাল হতে পারি না। আমি,2026-03-13 14:16:01.402758
